tissueId, geneId, level, confidence, cellType 
cerebral_cortex,ADAM17,Low,Approved,glial_cells
cerebral_cortex,ADAM17,Medium,Approved,neuronal_cells
cerebral_cortex,ADAM17,Medium,Approved,neuropil
cervix__uterine,ADAM17,Low,Approved,glandular_cells
cervix__uterine,ADAM17,Low,Approved,squamous_epithelial_cells
colon,ADAM17,Medium,Approved,endothelial_cells
colon,ADAM17,Medium,Approved,glandular_cells
colon,ADAM17,Medium,Approved,peripheral_nerve_ganglion
duodenum,ADAM17,Medium,Approved,glandular_cells
endometrium_1,ADAM17,Low,Approved,cells_in_endometrial_stroma
endometrium_1,ADAM17,Low,Approved,glandular_cells
endometrium_2,ADAM17,Low,Approved,cells_in_endometrial_stroma
endometrium_2,ADAM17,Medium,Approved,glandular_cells
epididymis,ADAM17,Medium,Approved,glandular_cells
esophagus,ADAM17,Low,Approved,squamous_epithelial_cells
fallopian_tube,ADAM17,Low,Approved,glandular_cells
gallbladder,ADAM17,Medium,Approved,glandular_cells
heart_muscle,ADAM17,Medium,Approved,myocytes
hippocampus,ADAM17,Medium,Approved,glial_cells
hippocampus,ADAM17,Medium,Approved,neuronal_cells
kidney,ADAM17,Low,Approved,cells_in_glomeruli
kidney,ADAM17,Low,Approved,cells_in_tubules
liver,ADAM17,Low,Approved,bile_duct_cells
liver,ADAM17,Medium,Approved,hepatocytes
lung,ADAM17,Medium,Approved,macrophages
lung,ADAM17,Low,Approved,pneumocytes
lymph_node,ADAM17,Medium,Approved,germinal_center_cells
lymph_node,ADAM17,Medium,Approved,non_germinal_center_cells
nasopharynx,ADAM17,Medium,Approved,respiratory_epithelial_cells
oral_mucosa,ADAM17,Low,Approved,squamous_epithelial_cells
ovary,ADAM17,Medium,Approved,follicle_cells
ovary,ADAM17,Medium,Approved,ovarian_stroma_cells
pancreas,ADAM17,Low,Approved,exocrine_glandular_cells
pancreas,ADAM17,Medium,Approved,islets_of_Langerhans
parathyroid_gland,ADAM17,Medium,Approved,glandular_cells
placenta,ADAM17,Low,Approved,decidual_cells
placenta,ADAM17,Medium,Approved,trophoblastic_cells
prostate,ADAM17,Medium,Approved,glandular_cells
rectum,ADAM17,Medium,Approved,glandular_cells
salivary_gland,ADAM17,Low,Approved,glandular_cells
seminal_vesicle,ADAM17,Medium,Approved,glandular_cells
skeletal_muscle,ADAM17,Medium,Approved,myocytes
skin_1,ADAM17,Low,Approved,fibroblasts
skin_1,ADAM17,Low,Approved,keratinocytes
skin_1,ADAM17,Low,Approved,Langerhans
skin_1,ADAM17,Medium,Approved,melanocytes
skin_2,ADAM17,Low,Approved,epidermal_cells
small_intestine,ADAM17,Medium,Approved,glandular_cells
smooth_muscle,ADAM17,Medium,Approved,smooth_muscle_cells
soft_tissue_1,ADAM17,Medium,Approved,adipocytes
soft_tissue_1,ADAM17,Low,Approved,chondrocytes
soft_tissue_1,ADAM17,Low,Approved,peripheral_nerve
soft_tissue_2,ADAM17,Low,Approved,adipocytes
soft_tissue_2,ADAM17,Low,Approved,peripheral_nerve
spleen,ADAM17,Low,Approved,cells_in_red_pulp
spleen,ADAM17,Low,Approved,cells_in_white_pulp
stomach_1,ADAM17,Medium,Approved,glandular_cells
stomach_2,ADAM17,Medium,Approved,glandular_cells
testis,ADAM17,Medium,Approved,cells_in_seminiferous_ducts
testis,ADAM17,Medium,Approved,Leydig_cells
thyroid_gland,ADAM17,Medium,Approved,glandular_cells
tonsil,ADAM17,Medium,Approved,germinal_center_cells
tonsil,ADAM17,Medium,Approved,non_germinal_center_cells
tonsil,ADAM17,Low,Approved,squamous_epithelial_cells
urinary_bladder,ADAM17,Medium,Approved,urothelial_cells
vagina,ADAM17,Medium,Approved,squamous_epithelial_cells
adrenal_gland,RIPK1,Low,Supported,glandular_cells
appendix,RIPK1,High,Supported,glandular_cells
appendix,RIPK1,Medium,Supported,lymphoid_tissue
bone_marrow,RIPK1,Low,Supported,hematopoietic_cells
breast,RIPK1,Low,Supported,adipocytes
breast,RIPK1,Medium,Supported,glandular_cells
breast,RIPK1,Medium,Supported,myoepithelial_cells
bronchus,RIPK1,Medium,Supported,respiratory_epithelial_cells
caudate,RIPK1,Low,Supported,glial_cells
caudate,RIPK1,Low,Supported,neuronal_cells
cerebellum,RIPK1,Low,Supported,cells_in_granular_layer
cerebellum,RIPK1,Low,Supported,cells_in_molecular_layer
cerebellum,RIPK1,Medium,Supported,Purkinje_cells
cerebral_cortex,RIPK1,Medium,Supported,endothelial_cells
cerebral_cortex,RIPK1,Low,Supported,glial_cells
cerebral_cortex,RIPK1,Low,Supported,neuronal_cells
cerebral_cortex,RIPK1,Low,Supported,neuropil
cervix__uterine,RIPK1,Low,Supported,glandular_cells
cervix__uterine,RIPK1,Medium,Supported,squamous_epithelial_cells
colon,RIPK1,Low,Supported,endothelial_cells
colon,RIPK1,High,Supported,glandular_cells
colon,RIPK1,Low,Supported,peripheral_nerve_ganglion
duodenum,RIPK1,High,Supported,glandular_cells
endometrium_1,RIPK1,Low,Supported,glandular_cells
endometrium_2,RIPK1,Low,Supported,cells_in_endometrial_stroma
endometrium_2,RIPK1,Low,Supported,glandular_cells
epididymis,RIPK1,Medium,Supported,glandular_cells
esophagus,RIPK1,Medium,Supported,squamous_epithelial_cells
fallopian_tube,RIPK1,Medium,Supported,glandular_cells
gallbladder,RIPK1,High,Supported,glandular_cells
heart_muscle,RIPK1,Medium,Supported,myocytes
hippocampus,RIPK1,Low,Supported,glial_cells
hippocampus,RIPK1,Low,Supported,neuronal_cells
kidney,RIPK1,Low,Supported,cells_in_glomeruli
kidney,RIPK1,Medium,Supported,cells_in_tubules
liver,RIPK1,Low,Supported,bile_duct_cells
liver,RIPK1,Low,Supported,hepatocytes
lung,RIPK1,Low,Supported,macrophages
lung,RIPK1,Low,Supported,pneumocytes
lymph_node,RIPK1,Low,Supported,germinal_center_cells
lymph_node,RIPK1,Low,Supported,non_germinal_center_cells
nasopharynx,RIPK1,Medium,Supported,respiratory_epithelial_cells
oral_mucosa,RIPK1,Medium,Supported,squamous_epithelial_cells
ovary,RIPK1,Medium,Supported,follicle_cells
ovary,RIPK1,Low,Supported,ovarian_stroma_cells
pancreas,RIPK1,Medium,Supported,exocrine_glandular_cells
pancreas,RIPK1,Low,Supported,islets_of_Langerhans
parathyroid_gland,RIPK1,Medium,Supported,glandular_cells
placenta,RIPK1,Medium,Supported,decidual_cells
placenta,RIPK1,Medium,Supported,trophoblastic_cells
prostate,RIPK1,Low,Supported,glandular_cells
rectum,RIPK1,High,Supported,glandular_cells
salivary_gland,RIPK1,Low,Supported,glandular_cells
seminal_vesicle,RIPK1,Low,Supported,glandular_cells
skeletal_muscle,RIPK1,Low,Supported,myocytes
skin_1,RIPK1,Low,Supported,fibroblasts
skin_1,RIPK1,Medium,Supported,keratinocytes
skin_1,RIPK1,Low,Supported,Langerhans
skin_1,RIPK1,Medium,Supported,melanocytes
skin_2,RIPK1,Medium,Supported,epidermal_cells
small_intestine,RIPK1,High,Supported,glandular_cells
smooth_muscle,RIPK1,Medium,Supported,smooth_muscle_cells
soft_tissue_1,RIPK1,Medium,Supported,adipocytes
soft_tissue_1,RIPK1,Medium,Supported,fibroblasts
soft_tissue_1,RIPK1,Low,Supported,peripheral_nerve
soft_tissue_2,RIPK1,Medium,Supported,adipocytes
soft_tissue_2,RIPK1,Medium,Supported,fibroblasts
spleen,RIPK1,Medium,Supported,cells_in_red_pulp
spleen,RIPK1,Low,Supported,cells_in_white_pulp
stomach_1,RIPK1,High,Supported,glandular_cells
stomach_2,RIPK1,High,Supported,glandular_cells
testis,RIPK1,Low,Supported,cells_in_seminiferous_ducts
testis,RIPK1,Medium,Supported,Leydig_cells
thyroid_gland,RIPK1,Medium,Supported,glandular_cells
tonsil,RIPK1,Medium,Supported,germinal_center_cells
tonsil,RIPK1,Medium,Supported,non_germinal_center_cells
tonsil,RIPK1,Medium,Supported,squamous_epithelial_cells
urinary_bladder,RIPK1,High,Supported,urothelial_cells
vagina,RIPK1,Low,Supported,squamous_epithelial_cells
adrenal_gland,MYD88,High,Approved,glandular_cells
appendix,MYD88,High,Approved,glandular_cells
appendix,MYD88,Medium,Approved,lymphoid_tissue
bone_marrow,MYD88,High,Approved,hematopoietic_cells
breast,MYD88,High,Approved,glandular_cells
breast,MYD88,High,Approved,myoepithelial_cells
bronchus,MYD88,High,Approved,respiratory_epithelial_cells
caudate,MYD88,Medium,Approved,glial_cells
caudate,MYD88,High,Approved,neuronal_cells
cerebellum,MYD88,High,Approved,cells_in_granular_layer
cerebellum,MYD88,Medium,Approved,cells_in_molecular_layer
cerebellum,MYD88,Medium,Approved,Purkinje_cells
cerebral_cortex,MYD88,Medium,Approved,endothelial_cells
cerebral_cortex,MYD88,Low,Approved,glial_cells
cerebral_cortex,MYD88,High,Approved,neuronal_cells
cerebral_cortex,MYD88,Medium,Approved,neuropil
cervix__uterine,MYD88,Medium,Approved,glandular_cells
cervix__uterine,MYD88,Medium,Approved,squamous_epithelial_cells
colon,MYD88,Medium,Approved,endothelial_cells
colon,MYD88,High,Approved,glandular_cells
colon,MYD88,Medium,Approved,peripheral_nerve_ganglion
duodenum,MYD88,High,Approved,glandular_cells
endometrium_1,MYD88,Medium,Approved,cells_in_endometrial_stroma
endometrium_1,MYD88,High,Approved,glandular_cells
endometrium_2,MYD88,Medium,Approved,cells_in_endometrial_stroma
endometrium_2,MYD88,High,Approved,glandular_cells
epididymis,MYD88,Medium,Approved,glandular_cells
esophagus,MYD88,Medium,Approved,squamous_epithelial_cells
fallopian_tube,MYD88,High,Approved,glandular_cells
gallbladder,MYD88,High,Approved,glandular_cells
heart_muscle,MYD88,Medium,Approved,myocytes
hippocampus,MYD88,Medium,Approved,glial_cells
hippocampus,MYD88,High,Approved,neuronal_cells
kidney,MYD88,Medium,Approved,cells_in_glomeruli
kidney,MYD88,High,Approved,cells_in_tubules
liver,MYD88,Medium,Approved,bile_duct_cells
liver,MYD88,High,Approved,hepatocytes
lung,MYD88,High,Approved,macrophages
lung,MYD88,Medium,Approved,pneumocytes
lymph_node,MYD88,High,Approved,germinal_center_cells
lymph_node,MYD88,High,Approved,non_germinal_center_cells
nasopharynx,MYD88,High,Approved,respiratory_epithelial_cells
oral_mucosa,MYD88,Medium,Approved,squamous_epithelial_cells
ovary,MYD88,Medium,Approved,ovarian_stroma_cells
pancreas,MYD88,High,Approved,exocrine_glandular_cells
pancreas,MYD88,Medium,Approved,islets_of_Langerhans
parathyroid_gland,MYD88,High,Approved,glandular_cells
placenta,MYD88,Medium,Approved,decidual_cells
placenta,MYD88,High,Approved,trophoblastic_cells
prostate,MYD88,High,Approved,glandular_cells
rectum,MYD88,High,Approved,glandular_cells
salivary_gland,MYD88,High,Approved,glandular_cells
seminal_vesicle,MYD88,High,Approved,glandular_cells
skeletal_muscle,MYD88,Medium,Approved,myocytes
skin_1,MYD88,Medium,Approved,fibroblasts
skin_1,MYD88,Medium,Approved,keratinocytes
skin_1,MYD88,Medium,Approved,Langerhans
skin_1,MYD88,Medium,Approved,melanocytes
skin_2,MYD88,Medium,Approved,epidermal_cells
small_intestine,MYD88,High,Approved,glandular_cells
smooth_muscle,MYD88,Medium,Approved,smooth_muscle_cells
soft_tissue_1,MYD88,Low,Approved,adipocytes
soft_tissue_1,MYD88,Medium,Approved,fibroblasts
soft_tissue_1,MYD88,Low,Approved,peripheral_nerve
soft_tissue_2,MYD88,Medium,Approved,adipocytes
soft_tissue_2,MYD88,Medium,Approved,fibroblasts
soft_tissue_2,MYD88,Medium,Approved,peripheral_nerve
spleen,MYD88,Medium,Approved,cells_in_red_pulp
